ts,Open,High,Low,Close,Volume
2026-03-10,2224.0,2224.0,2175.0,2190.2,1084986.0
2026-03-11,2190.2,2195.0,2156.0,2161.4,1313256.0
2026-03-12,2165.1,2165.1,2109.3,2136.9,1791973.0
2026-03-13,2136.0,2191.9,2120.3,2160.0,2298875.0
2026-03-16,2169.6,2186.7,2154.0,2175.7,1981511.0
2026-03-17,2172.8,2184.8,2145.5,2158.2,1705956.0
2026-03-18,2165.0,2175.0,2129.7,2135.3,2441148.0
2026-03-19,2112.0,2133.6,2070.1,2077.3,2098905.0
2026-03-20,2099.7,2099.8,2069.0,2082.7,2429744.0
2026-03-23,2062.3,2097.0,2033.3,2052.2,2599535.0
2026-03-24,2070.0,2115.0,2066.0,2085.0,1702418.0
2026-03-25,2098.0,2154.7,2086.0,2134.8,2069217.0
2026-03-27,2123.3,2127.0,2069.5,2074.4,2789151.0
2026-03-30,2064.0,2082.4,2046.2,2055.2,2482193.0
2026-04-01,2119.9,2119.9,2052.0,2064.7,2028470.0
2026-04-02,2055.0,2069.9,2022.5,2065.3,1431905.0
2026-04-06,2065.3,2092.8,2041.9,2084.8,1661298.0
2026-04-07,2064.7,2119.5,2050.8,2110.6,2709707.0
2026-04-08,2130.0,2192.8,2130.0,2145.6,3794437.0
2026-04-09,2145.5,2162.9,2115.0,2133.2,2506245.0
2026-04-10,2133.2,2170.0,2121.4,2155.3,2144484.0
2026-04-13,2131.0,2140.7,2113.5,2127.2,1994541.0
2026-04-15,2140.9,2168.0,2140.9,2157.6,1552971.0
2026-04-16,2158.0,2163.7,2129.1,2139.1,1845734.0
2026-04-17,2142.0,2245.0,2133.0,2240.8,4882697.0
2026-04-20,2240.8,2253.4,2223.2,2231.5,1460822.0
2026-04-21,2238.7,2335.7,2227.2,2310.7,3217281.0
2026-04-22,2310.4,2408.0,2310.4,2368.8,5558325.0
2026-04-23,2336.0,2400.0,2336.0,2366.4,2063531.0
2026-04-24,2388.6,2388.6,2299.0,2327.3,1676706.0
2026-04-27,2334.9,2362.8,2325.0,2328.3,1099681.0
2026-04-28,2321.0,2334.4,2281.1,2289.5,1629120.0
2026-04-29,2305.0,2349.7,2291.0,2314.4,1778765.0
2026-04-30,2312.0,2368.8,2211.6,2250.9,4434979.0
2026-05-04,2268.8,2365.8,2268.8,2309.3,2554255.0
2026-05-05,2301.5,2335.4,2288.1,2327.4,1741424.0
2026-05-06,2330.0,2339.4,2288.3,2317.1,1196175.0
2026-05-07,2310.0,2327.9,2268.1,2272.2,1859012.0
2026-05-08,2272.2,2297.3,2256.0,2287.7,1104526.0
2026-05-11,2277.1,2317.1,2259.2,2307.2,1903862.0
2026-05-12,2285.3,2307.0,2256.0,2262.0,983506.0
2026-05-13,2265.0,2295.8,2250.0,2267.3,1308559.0
2026-05-14,2268.0,2285.9,2245.0,2248.7,1380764.0
2026-05-15,2248.7,2298.9,2246.2,2272.2,1038522.0
2026-05-18,2263.1,2265.0,2224.7,2254.2,1118204.0
2026-05-19,2242.0,2282.0,2229.5,2232.9,1145022.0
2026-05-20,2224.9,2226.9,2201.0,2209.3,1071994.0
2026-05-21,2224.0,2229.0,2176.0,2179.0,1581812.0
2026-05-22,2180.0,2224.5,2175.4,2203.6,1382889.0
2026-05-25,2215.0,2238.1,2192.9,2196.5,780722.0
2026-05-26,2199.6,2220.0,2190.0,2209.4,2302703.0
2026-05-27,2205.1,2214.6,2187.0,2198.4,616538.0
2026-05-29,2133.5,2207.8,2118.1,2153.5,17701621.0
2026-06-01,2158.5,2167.5,2080.3,2084.3,1470488.0
2026-06-02,2079.0,2097.0,2065.7,2093.7,2148903.0
2026-06-03,2092.0,2099.6,2072.2,2090.6,1544973.0
2026-06-04,2089.0,2110.9,2073.5,2079.4,2142735.0
2026-06-05,2086.7,2127.5,2077.2,2121.5,1822999.0
2026-06-08,2105.3,2125.0,2091.5,2110.1,1601497.0
2026-06-09,2119.7,2138.6,2110.1,2132.8,1460636.0
2026-06-10,2134.9,2204.9,2133.5,2169.5,2325534.0
2026-06-11,2164.0,2165.0,2135.3,2139.8,1178896.0
2026-06-12,2151.2,2179.4,2145.0,2168.8,1156153.0
2026-06-15,2200.0,2211.0,2150.0,2156.1,1439449.0
2026-06-16,2161.0,2209.0,2160.1,2199.9,1337309.0
2026-06-17,2201.1,2224.6,2183.0,2197.6,1511401.0
2026-06-18,2208.7,2221.6,2196.8,2218.5,1120482.0
2026-06-19,2209.6,2210.6,2179.9,2194.6,1508994.0
2026-06-22,2203.7,2208.2,2182.5,2184.9,765860.0
2026-06-23,2160.1,2179.7,2156.0,2160.1,710082.0
2026-06-24,2160.0,2166.0,2140.0,2157.8,942271.0
2026-06-25,2161.0,2200.9,2161.0,2174.2,1898262.0
2026-06-29,2172.0,2189.9,2143.0,2151.3,1423514.0
2026-06-30,2151.0,2151.3,2114.2,2118.2,2364422.0
2026-07-01,2133.5,2190.0,2120.2,2182.0,2497576.0
2026-07-02,2186.0,2216.0,2179.2,2210.6,2585362.0
2026-07-03,2224.9,2239.3,2190.0,2201.2,1536616.0
2026-07-06,2202.1,2221.4,2190.3,2202.0,2131061.0
2026-07-07,2200.0,2219.4,2193.7,2208.8,2552492.0
2026-07-08,2199.0,2199.0,2130.0,2135.8,1326689.0
2026-07-09,2139.0,2166.8,2137.1,2144.5,2201039.0
2026-07-10,2151.5,2178.0,2145.0,2150.6,1665179.0
2026-07-13,2143.0,2143.0,2120.0,2130.6,1833988.0
2026-07-14,2125.0,2145.0,2116.1,2120.2,2681897.0
2026-07-15,2121.0,2128.5,2091.0,2102.6,2029614.0
2026-07-16,2104.9,2123.0,2096.0,2098.4,2143092.0
2026-07-17,2100.0,2154.5,2092.1,2143.8,1059832.0
2026-07-20,2153.8,2153.8,2128.4,2139.7,689849.0
2026-07-21,2139.7,2147.7,2127.5,2142.5,1032417.0
2026-07-22,2139.7,2159.9,2130.0,2154.6,819175.0
2026-07-23,2150.0,2166.0,2139.9,2161.8,833281.0
2026-07-24,2148.0,2163.0,2139.0,2145.0,1603494.0
2026-07-27,2155.0,2181.3,2152.4,2174.6,698681.0
2026-07-28,2174.6,2213.0,2016.0,2022.7,9947304.0
2026-07-29,2050.5,2123.0,2047.0,2117.8,5183374.0
2026-07-30,2120.0,2132.6,2088.0,2107.9,2602039.0
2026-07-31,2119.6,2119.6,2091.1,2101.3,1759019.0
2026-08-03,2107.0,2138.0,2105.3,2138.0,740649.0
2026-08-04,2119.1,2119.1,2070.2,2081.0,1582485.0
